contrato_ant	Contracte Ant.	fases	contrato_ant
colegiados.listado_cesion	Llistat Cesió de Dades	colegiados	listado_cesion
colegiados.premaat_baja	Desitja donar de Baixa a aquest col·legiat en PREMAAT?~~rLos imports a cobrar i pagar s'actualitzaran a0 .	colegiados	premaat_baja
colegiados.tel_prof	Telèfon Prof.	colegiados	tel_prof
colegiados.lista_colegiados	Llista Col.legiats	colegiados	lista_colegiados
colegiados.poliza_exceso	Nom. Poliza excés	colegiados	poliza_exceso
colegiados.msg_arquitectos_cod_poblacion	Existeixen arquitectes amb aquest codi de població	colegiados	msg_arquitectos_cod_poblacion
colegiados.sociedades	Societats	colegiados	sociedades
colegiados.campo_f_fin	Ha d'especificar un valor en el camp data fin	colegiados	campo_f_fin
colegiados.observaciones	Observacions	colegiados	observaciones
colegiados.fechai	D. Inici	colegiados	fechai
colegiados.fnacimiento	Data Naiximent	colegiados	fnacimiento
colegiados.impresion_impreso	Error en registrar la impressió de l'imprès	colegiados	impresion_impreosos
colegiados.fechah	Fins	colegiados	fechah
colegiados.hacienda	Hasienda	colegiados	hacienda
colegiados.folio_ministerio	Fulla Ministeri	colegiados	folio_ministerio
colegiados.serie	Serie	colegiados	serie
colegiados.general_campo_sociedad	Ha d'especificar en la pestanya de Dades Generals, pagaments (Comptabilitat) un valor en el camp societat.	colegiados	msg_con_facturables_fp
colegiados.valor_serie	Ha d'especificar una serie per a les factures.	colegiados	valor_serie
colegiados.fotos_firmas	Fotografies, Signatures	colegiados	fotos_firmas
colegiados.separados_comas	Nom.col. separat per comes	colegiados	separados_comas
colegiados.documento	 Documents	colegiados	documento
colegiados.hasta	Fins	colegiados	hasta
colegiados.firma	Poseeïx signatura	colegiados	firma
colegiados.fechad	Desde	colegiados	fechad
colegiados.cobertura_exceso	Cob. Excés	colegiados	cobertura_exceso
colegiados.duplicado	Nombre de Col.legiat duplicat.	colegiados	duplicado
colegiados.adscripcion	Adscripció Col.legial	colegiados	adscripcion
colegiados.tipo_alta	Tipus Alta	colegiados	tipo_alta
colegiados.num_colegiado	Nom. Col.legiat	colegiados	num_colegiado
colegiados.nombre	Nom	colegiados	nombre
colegiados.listado_col_sociedades	Llistat Col.legiat i Societats	colegiados	listado_col_sociedades
colegiados.valor_total_linea	Ha d'especificar un valor per al camp Total linea	colegiados	valor_total_linea
colegiados.fecha_creacion	Data Creació	colegiados	fecha_creacion
colegiados.nombre/num_colegiado	Nom/ Nombre Col.legiat	colegiados	nombre/num_colegiado
colegiados.msg_pais_dom	Existeixen domicilis amb aquest pais	colegiados	msg_pais_dom
colegiados.apellidos_nombre	Cognoms, Nom	colegiados	apellidos_nombre
colegiados.n_poliza_exc	Nombre Pòlissa Exc.	colegiados	n_poliza_exc
colegiados.ningun_concepto	Inclou els conceptes especificats que tingui assignats cada col·legiat i que tinguin la forma de pagament especificada	colegiados	ningun_concepto
colegiados.poblacion-activa	Població Activa	colegiados	poblacion-activa
colegiados.acreditado	Nº Habilitació	colegiados	acreditado
colegiados.campo_tipo_alta	Ha d'especificar un valor en el camp tipus d'alta	colegiados	campo_tipo_alta
colegiados.es_sociedad	És Societat	colegiados	es_sociedad
colegiados.error_envio	Es va produir un error durant l'enviament	colegiados	error_envio
colegiados.introducir_num	Deu introduir un nombre de col.legiat vàlid	colegiados	introducir_num
colegiados.num_acreditado	Nom. Acreditat	colegiados	num_acreditado
colegiados.existe_fichero	El fitxer ja existeix, desitja sobreescriure?	colegiados	existe_fichero
colegiados.dom_fiscal	Ha d'especificar un domicili fiscal.	colegiados	dom_fiscal
colegiados.plantilla	?La plantilla seleccionada no existeix	colegiados	plantilla
colegiados.permiso_concesion	Permís cessió de dades	colegiados	permiso_cesion
colegiados.listado_general_general	Llistat General	colegiados	listado_general_general
colegiados.duplicar_clientes	No es poden duplicar clients	colegiados	duplicar_clientes
colegiados.f_fin	D. Fi	colegiados	f_fin
colegiados.campo_nombre_via	Ha d'especificar un valor en el camp nom de la via	colegiados	campo_nombre_via
colegiados.campo_situacion	Ha d'especificar un valor en el camp situació	colegiados	campo_situacion
colegiados.alta	Alta	colegiados	alta
colegiados.permiso_col_con	Permís per a cedir dades a col.legi + Consell	colegiados	permiso_col_con
colegiados.msg_pais_cli	Existeixen clients amb aquest codi de pais	colegiados	msg_pais_cli
colegiados.msg_pais_prov	Existeixen provincies amb aquest codi de pais	colegiados	msg_pais_prov
colegiados.msg_con_facturables_fp	Ha d'especificar en la pestanya de Conceptes Facturables (Comptabilitat) un valor en el camp forma pagament.	colegiados	msg_con_facturables_fp
colegiados.f_registro_ministerio	D. Registre Ministeri	colegiados	f_registro_ministerio
colegiados.historico	Històric	colegiados	historico
colegiados.residente	Resident	colegiados	residente
colegiados.listado_domiciliaciones	Llistat Domiciliacions	colegiados	listado_domiciliaciones
colegiados.general_campo_voluntaria	Ha d'especificar en la pestanya de Dades Generals, pagaments (Comptabilitat) un valor en el camp retenció voluntaria.	colegiados	genera_campo_voluntaria
colegiados.incluir_alguno	Inclou els conceptes especificats que tingui assignats cada col·legiat i que tinguin la forma de pagament especificada	colegiados	incluir_alguno
colegiados.msg_con_facturables	Ha d'especificar en la pestanya de Conceptes Facturables (Comptabilitat) un valor en el camp concepte.	colegiados	msg_con_facturables
colegiados.otros_datos	Altres dades	colegiados	otros_datos
colegiados.agrupaciones	Agrupacions	colegiados	agrpaciones
colegiados.campo_porcentaje	El camp percentatge deu de ser menor o igual a cent.	colegiados	campo_socedad
colegiados.msg_fases_cod_poblacion	Existeixen fases amb aquest codi de població	colegiados	msg_fases_cod_poblacion
colegiados.apellidos/sociedad	Cognom/Societat	colegiados	apellidos/sociedad
colegiados.listado_sociedades_colegiados	Llistat de societats i col.legiats	colegiados	listado_sociedades_colegiados
colegiados.campo_pais	Ha d'especificar un valor en el camp codi pais	colegiados	campo_pais
colegiados.listado_completo	Llistat complet	colegiados	listado_completo
colegiados.domicilios	Domicilis	colegiados	domicilios
colegiados.listado_domicilios_detallado	Llistat de Domicilis Detallats	colegiados	listado_domicilios_detallado
colegiados.telefono_particular	Telèfon Part.	colegiados	telefono_particular
colegiados.listado_sencillo	Llistat Sencill de col.legiats	colegiados	listado_sencillo
colegiados.ult_num_fac_rec	Últim Nº Factura Rect.	colegiados	ult_num_fac_rec
colegiados.tipo_domicilio	Tipus Domicili	colegiados	tipo_domicilio
colegiados.tipo_baja	Tipus Baixa	colegiados	tipo_baja
colegiados.falta	Data Alta	colegiados	falta
colegiados.permiso_col_con_ter	Permís per a cedir dades a Col.legi + Consell + Tercers	colegiados	permiso_col_con_ter
colegiados.listado_seleccionados	Col.legiats seleccionats	colegiados	listado_seleccionados
colegiados.publicidad	Publicitat	colegiados	publicidad
colegiados.anyadir_registros	No es poden afegir més registres	colegiados	anyadir_registros
colegiados.sociedad	Societat	colegiados	sociedad
colegiados.dom_fiscal_activo	Domicili Fiscal Actiu	colegiados	dom_fiscal_activo
colegiados.colegio_cons_terceros	Col.legi + Cons. + Tercers	colegiados	colegio_cons_terceros
colegiados.premaat_baja_dom	Al donar de baixa al col·legiat en PREMAAT hauria de revisar les domiciliacions i prestacions que segueixen activa	colegiados	premaat_baja_dom
colegiados.agrupaciones_f_ini_rango	No es poden duplicar agrupacions amb data inici dins del rang de cap altra.	colegiados	agrupaciones_f_ini_rango
colegiados.n_poliza	Nº Pòlissa	colegiados	n_poliza
colegiados.n_colegiado	Col.legiat	colegiados	n_colegiado
colegiados.+65	Hi han colegiats majors de 65 anys que encar tenen les cuotas colegials pendents	colegiados	aviso_+65
colegiados.n_expediente_univ	Nom. Exp. univ.	colegiados	n_expediente_univ
colegiados.valor_fecha	Deu especificar una data per a les factures.	colegiados	valor_fecha
