961620.0	1081820.0	1.8700000000000001	N	5.1       	H   
1081820.0	1202020.0	1.8600000000000001	N	5.1       	H   
1202020.0	1502530.0	1.8	N	5.1       	H   
1502530.0	1803040.0	1.77	N	5.1       	H   
1803040.0	2103540.0	1.72	N	5.1       	H   
2103540.0	2404050.0	1.6799999999999999	N	5.1       	H   
2404050.0	3005060.0	1.6499999999999999	N	5.1       	H   
3005060.0	3906580.0	1.6000000000000001	N	5.1       	H   
3906580.0	999999999.0	1.5600000000000001	S	5.1       	H   
-1.0	4510.0	8.0	N	A.1.2     	H   
4510.0	6010.0	7.5	N	A.1.2     	H   
6010.0	9020.0	7.0	N	A.1.2     	H   
9020.0	12020.0	6.7000000000000002	N	A.1.2     	H   
12020.0	18030.0	6.4000000000000004	N	A.1.2     	H   
18030.0	24040.0	6.25	N	A.1.2     	H   
24040.0	30050.0	6.0999999999999996	N	A.1.2     	H   
30050.0	36060.0	5.9500000000000002	N	A.1.2     	H   
36060.0	42070.0	5.7999999999999998	N	A.1.2     	H   
42070.0	51090.0	5.7000000000000002	N	A.1.2     	H   
51090.0	60100.0	5.5999999999999996	N	A.1.2     	H   
60100.0	75130.0	5.5	N	A.1.2     	H   
75130.0	90150.0	5.4000000000000004	N	A.1.2     	H   
90150.0	120200.0	5.25	N	A.1.2     	H   
120200.0	180300.0	5.0	N	A.1.2     	H   
180300.0	240400.0	4.75	N	A.1.2     	H   
240400.0	300510.0	4.5	N	A.1.2     	H   
300510.0	390660.0	4.25	N	A.1.2     	H   
390660.0	480810.0	4.0	N	A.1.2     	H   
480810.0	601010.0	3.75	N	A.1.2     	H   
601010.0	751270.0	3.5	N	A.1.2     	H   
751270.0	901520.0	3.3799999999999999	N	A.1.2     	H   
901520.0	1051770.0	3.25	N	A.1.2     	H   
1051770.0	1202020.0	3.1499999999999999	N	A.1.2     	H   
1202020.0	1502530.0	3.0499999999999998	N	A.1.2     	H   
1502530.0	1803040.0	2.8500000000000001	N	A.1.2     	H   
1803040.0	2404050.0	2.6499999999999999	N	A.1.2     	H   
2404050.0	2704550.0	2.5	N	A.1.2     	H   
2704550.0	3005060.0	2.3500000000000001	N	A.1.2     	H   
3005060.0	3606070.0	2.2000000000000002	N	A.1.2     	H   
3606070.0	4207080.0	2.1499999999999999	N	A.1.2     	H   
4207080.0	5108600.0	2.1000000000000001	N	A.1.2     	H   
